Date,market,item,price,is_holiday,holiday_name,temp,rainfall,humidity,wind_speed,sunshine_hours,volume_MT,is_public_holiday,demand_multiplier,quantity_tonnes_x,quantity_tonnes_y,quantity_tonnes
2020-01-01,Ampara,Rice,148.61,0.0,,26.3,3.4,87.0,13.7,10.882636111111111,49.28,,,,49.28,
2020-01-01,Anuradhapura,Rice,144.81,0.0,,25.9,1.3,87.0,14.1,9.245261111111112,44.23,,,,44.23,
2020-01-01,Bandarawela,Beetroot,217.66,0.0,,19.3,1.2,88.0,9.6,10.855038888888888,11.43,,,,11.43,
2020-01-01,Batticaloa,Red Onion,283.41,0.0,,26.9,2.9,85.0,18.0,10.867233333333331,29.94,,,,29.94,
2020-01-01,Colombo,Beetroot,278.83,0.0,,26.5,1.1,88.0,11.0,10.793733333333334,15.25,,,,15.25,
2020-01-01,Colombo,Radish,65.16,0.0,,26.5,1.1,88.0,11.0,10.793733333333334,23.53,,,,23.53,
2020-01-01,Colombo,Red Onion,332.09,0.0,,26.5,1.1,88.0,11.0,10.793733333333334,50.09,,,,50.09,
2020-01-01,Colombo,Rice,150.0,0.0,,26.5,1.1,88.0,11.0,10.793733333333334,69.03,,,,69.03,
2020-01-01,Dambulla,Beetroot,280.92,0.0,,25.3,0.5,85.0,17.2,10.523947222222224,12.13,,,,12.13,
2020-01-01,Dambulla,Radish,51.02,0.0,,25.3,0.5,85.0,17.2,10.523947222222224,18.33,,,,18.33,
2020-01-01,Dambulla,Red Onion,275.22,0.0,,25.3,0.5,85.0,17.2,10.523947222222224,31.47,,,,31.47,
2020-01-01,Dambulla,Rice,146.12,0.0,,25.3,0.5,85.0,17.2,10.523947222222224,52.55,,,,52.55,
2020-01-01,Embilipitiya,Red Onion,430.91,0.0,,26.4,1.2,84.0,16.6,10.855463888888888,28.89,,,,28.89,
2020-01-01,Jaffna,Red Onion,277.53,0.0,,26.1,0.7,89.0,12.6,10.636133333333332,34.22,,,,34.22,
2020-01-01,Kandy,Beetroot,155.51,0.0,,24.3,0.0,81.0,20.9,10.811513888888888,13.36,,,,13.36,
2020-01-01,Kandy,Radish,57.54,0.0,,24.3,0.0,81.0,20.9,10.811513888888888,17.78,,,,17.78,
2020-01-01,Kandy,Red Onion,285.78,0.0,,24.3,0.0,81.0,20.9,10.811513888888888,37.98,,,,37.98,
2020-01-01,Kandy,Rice,165.57,0.0,,24.3,0.0,81.0,20.9,10.811513888888888,48.52,,,,48.52,
2020-01-01,Kurunegala,Rice,149.03,0.0,,25.7,2.5,85.0,9.9,10.788358333333331,47.65,,,,47.65,
2020-01-01,Mannar,Red Onion,368.65,0.0,,26.7,1.3,85.0,20.8,10.708933333333334,26.07,,,,26.07,
2020-01-01,Meegoda,Radish,61.75,0.0,,26.1,5.7,89.0,8.1,10.788694444444443,15.75,,,,15.75,
2020-01-01,Meegoda,Red Onion,270.76,0.0,,26.1,5.7,89.0,8.1,10.788694444444443,41.3,,,,41.3,
2020-01-01,Moneragala,Radish,83.91,0.0,,25.0,3.0,91.0,8.0,10.0,12.07,,,,12.07,
2020-01-01,Moneragala,Red Onion,304.84,0.0,,25.0,3.0,91.0,8.0,10.0,31.89,,,,31.89,
2020-01-01,Moneragala,Rice,145.99,0.0,,25.0,3.0,91.0,8.0,10.0,47.11,,,,47.11,
2020-01-01,Mullaittivu,Red Onion,250.35,0.0,,26.3,1.9,88.0,14.1,10.604875000000002,30.35,,,,30.35,
2020-01-01,Nuwara Eliya,Beetroot,260.55,0.0,,16.0,1.4,88.0,10.5,10.85155,9.55,,,,9.55,
2020-01-01,Nuwara Eliya,Red Onion,276.28,0.0,,16.0,1.4,88.0,10.5,10.85155,34.43,,,,34.43,
2020-01-01,Polonnaruwa,Rice,149.74,0.0,,26.4,0.7,85.0,13.3,10.818544444444443,49.65,,,,49.65,
2020-01-01,Puttalam,Red Onion,413.72,0.0,,26.7,1.2,85.0,16.0,10.736386111111113,24.93,,,,24.93,
2020-01-01,Puttalam,Rice,151.76,0.0,,26.7,1.2,85.0,16.0,10.736386111111113,38.6,,,,38.6,
2020-01-01,Thambuththegama,Beetroot,329.29,0.0,,26.1,1.0,85.0,15.1,9.175733333333334,9.5,,,,9.5,
2020-01-01,Thambuththegama,Red Onion,293.8,0.0,,26.1,1.0,85.0,15.1,9.175733333333334,38.49,,,,38.49,
2020-01-01,Trincomalee,Red Onion,425.23,0.0,,26.5,2.1,86.0,15.0,10.649377777777778,30.52,,,,30.52,
2020-01-01,Vavuniya,Red Onion,190.42,0.0,,25.6,1.5,89.0,11.2,10.230227777777776,33.97,,,,33.97,
2020-01-02,Ampara,Rice,149.19,0.0,,26.3,5.6,89.0,12.2,9.672188888888888,46.45,,,,46.45,
2020-01-02,Anuradhapura,Rice,145.08,0.0,,26.0,1.7,87.0,15.9,10.759897222222222,56.42,,,,56.42,
2020-01-02,Bandarawela,Beetroot,223.2,0.0,,19.6,3.5,92.0,12.2,10.840352777777778,11.62,,,,11.62,
2020-01-02,Batticaloa,Red Onion,282.5,0.0,,26.7,5.3,88.0,15.9,10.564622222222225,31.76,,,,31.76,
2020-01-02,Colombo,Beetroot,272.44,0.0,,26.6,1.6,87.0,10.2,10.766941666666666,14.3,,,,14.3,
2020-01-02,Colombo,Radish,64.82,0.0,,26.6,1.6,87.0,10.2,10.766941666666666,20.53,,,,20.53,
2020-01-02,Colombo,Red Onion,328.52,0.0,,26.6,1.6,87.0,10.2,10.766941666666666,42.57,,,,42.57,
2020-01-02,Colombo,Rice,150.28,0.0,,26.6,1.6,87.0,10.2,10.766941666666666,62.35,,,,62.35,
2020-01-02,Dambulla,Beetroot,283.05,0.0,,25.1,3.8,88.0,18.7,10.443641666666666,12.14,,,,12.14,
2020-01-02,Dambulla,Radish,53.62,0.0,,25.1,3.8,88.0,18.7,10.443641666666666,15.93,,,,15.93,
2020-01-02,Dambulla,Red Onion,278.6,0.0,,25.1,3.8,88.0,18.7,10.443641666666666,39.32,,,,39.32,
2020-01-02,Dambulla,Rice,146.21,0.0,,25.1,3.8,88.0,18.7,10.443641666666666,50.26,,,,50.26,
2020-01-02,Embilipitiya,Red Onion,437.61,0.0,,26.3,2.3,86.0,19.0,10.848338888888888,26.87,,,,26.87,
2020-01-02,Jaffna,Red Onion,276.34,0.0,,26.7,1.8,85.0,18.8,10.693397222222224,35.23,,,,35.23,
2020-01-02,Kandy,Beetroot,155.62,0.0,,24.3,0.5,82.0,22.2,10.804494444444444,14.89,,,,14.89,
2020-01-02,Kandy,Radish,57.52,0.0,,24.3,0.5,82.0,22.2,10.804494444444444,17.75,,,,17.75,
2020-01-02,Kandy,Red Onion,283.78,0.0,,24.3,0.5,82.0,22.2,10.804494444444444,39.46,,,,39.46,
2020-01-02,Kandy,Rice,165.66,0.0,,24.3,0.5,82.0,22.2,10.804494444444444,46.53,,,,46.53,
